[i] Train : 3002
[i] Valid : 333
[i] Test : 210
[i] restored imagenet parameters (VGG16)
[i] iter : 8500, loss : 0.8268, class_loss = 0.5004, l2_reg_loss : 0.3264, time : 161sec
[i] iter : 8600, loss : 0.8270, class_loss = 0.4961, l2_reg_loss : 0.3309, time : 161sec
[i] iter : 8700, loss : 0.8227, class_loss = 0.4895, l2_reg_loss : 0.3332, time : 161sec
[i] iter : 8800, loss : 0.8331, class_loss = 0.4944, l2_reg_loss : 0.3387, time : 161sec
[i] iter : 8900, loss : 0.8274, class_loss = 0.4830, l2_reg_loss : 0.3444, time : 161sec
[i] iter : 9000, loss : 0.8482, class_loss = 0.4959, l2_reg_loss : 0.3523, time : 161sec
[i] valid meanIU : 4.35%, best valid meanIU : 4.35%
[i] iter : 9100, loss : 0.8460, class_loss = 0.4897, l2_reg_loss : 0.3563, time : 180sec
[i] iter : 9200, loss : 0.8247, class_loss = 0.4635, l2_reg_loss : 0.3612, time : 160sec
[i] iter : 9300, loss : 0.8344, class_loss = 0.4680, l2_reg_loss : 0.3663, time : 161sec
[i] iter : 9400, loss : 0.8262, class_loss = 0.4569, l2_reg_loss : 0.3693, time : 160sec
[i] iter : 9500, loss : 0.8424, class_loss = 0.4666, l2_reg_loss : 0.3757, time : 160sec
[i] iter : 9600, loss : 0.8409, class_loss = 0.4589, l2_reg_loss : 0.3820, time : 161sec
[i] iter : 9700, loss : 0.8489, class_loss = 0.4615, l2_reg_loss : 0.3874, time : 160sec
[i] iter : 9800, loss : 0.8572, class_loss = 0.4658, l2_reg_loss : 0.3914, time : 160sec
[i] iter : 9900, loss : 0.8503, class_loss = 0.4554, l2_reg_loss : 0.3949, time : 162sec
[i] iter : 10000, loss : 0.8448, class_loss = 0.4455, l2_reg_loss : 0.3993, time : 159sec
[i] valid meanIU : 4.31%, best valid meanIU : 4.35%
[i] iter : 10100, loss : 0.8712, class_loss = 0.4666, l2_reg_loss : 0.4045, time : 178sec
[i] iter : 10200, loss : 0.8505, class_loss = 0.4392, l2_reg_loss : 0.4113, time : 161sec
